"","Player","Pos","G","WAR","AB","H","X2B","X3B","HR","BB","SO","BA","OBP","SLG","HBP","Tm"
"1","Will Smith","C",128,3.5,476,118,24,2,20,51,105,0.248,0.327,0.433,9,"Los-Angeles Dodgers"
"2","Freddie Freeman*","1B",147,4.7,542,153,35,2,22,78,100,0.282,0.378,0.476,10,"Los-Angeles Dodgers"
"3","Gavin Lux*","2B",139,2.1,439,110,24,2,10,44,110,0.251,0.32,0.383,2,"Los-Angeles Dodgers"
"4","Miguel Rojas","SS",103,3.4,307,87,21,0,6,23,34,0.283,0.337,0.41,3,"Los-Angeles Dodgers"
"5","Max Muncy*","3B",73,3,237,55,17,0,15,45,77,0.232,0.358,0.494,5,"Los-Angeles Dodgers"
"6","Teoscar Hernández","LF",154,4.3,589,160,32,2,33,53,188,0.272,0.339,0.501,8,"Los-Angeles Dodgers"
"7","Andy Pages","CF",116,1.3,403,100,23,1,13,29,108,0.248,0.305,0.407,6,"Los-Angeles Dodgers"
"8","Jason Heyward*","RF",63,0.8,173,36,10,2,6,17,36,0.208,0.289,0.393,4,"Los-Angeles Dodgers"
"9","Shohei Ohtani*","DH",159,9.2,636,197,38,7,54,81,162,0.31,0.39,0.646,6,"Los-Angeles Dodgers"
"10","Mookie Betts","UT",116,4.8,450,130,24,5,19,61,57,0.289,0.372,0.491,1,"Los-Angeles Dodgers"
"11","Kiké Hernández","3B",126,1.3,362,83,16,0,12,27,77,0.229,0.281,0.373,0,"Los-Angeles Dodgers"
"12","Chris Taylor","UT",87,-0.1,213,43,7,1,4,28,76,0.202,0.298,0.3,2,"Los-Angeles Dodgers"
"13","Austin Barnes","C",54,0.7,140,37,3,0,1,14,36,0.264,0.331,0.307,0,"Los-Angeles Dodgers"
"14","James Outman*","CF",53,-0.4,136,20,4,0,4,16,55,0.147,0.256,0.265,4,"Los-Angeles Dodgers"
"15","Tommy Edman#","UT",37,0.9,139,33,5,1,6,11,30,0.237,0.294,0.417,1,"Los-Angeles Dodgers"
"16","Cavan Biggio*","CI",30,-0.2,73,14,1,0,3,10,28,0.192,0.306,0.329,2,"Los-Angeles Dodgers"
"17","Miguel Vargas","LF",30,0.3,71,17,4,0,3,8,16,0.239,0.313,0.423,0,"Los-Angeles Dodgers"
"18","Kevin Kiermaier*","CF",34,0.1,59,12,2,1,1,2,20,0.203,0.242,0.322,1,"Los-Angeles Dodgers"
"19","Nick Ahmed","SS",17,-0.1,48,11,0,0,1,1,14,0.229,0.245,0.292,0,"Los-Angeles Dodgers"
"20","Hunter Feduccia*","C",5,0.1,12,4,0,0,0,2,2,0.333,0.429,0.333,0,"Los-Angeles Dodgers"
"21","Taylor Trammell*","OF",5,-0.2,6,0,0,0,0,0,3,0,0,0,0,"Los-Angeles Dodgers"
